source	target	value
U Autónoma de Nuevo León	Political Communication Lab (LACOP)	2
U Autónoma de Nuevo León	U Autónoma de Nuevo León	5
Suffolk U	Emerson College	1
Suffolk U	Suffolk U	1
Osaka U	U of Canterbury	2
Osaka U	Osaka U	2
U of San Francisco	U of Pennsylvania	2
U of San Francisco	SUNY IT	2
U of San Francisco	U at Buffalo - SUNY	2
U of San Francisco	U of San Francisco	5
U of San Francisco	Pennsylvania State U	2
U of San Francisco	The Pennsylvania State U	2
Technische Hochschule Mittelhessen	Technische Hochschule Mittelhessen	1
Technische Hochschule Mittelhessen	TU Dortmund U	1
Porter Novelli	U of Houston	1
Porter Novelli	Villanova U	1
Porter Novelli	Porter Novelli	1
Porter Novelli	Communica PR Consulting	1
Stephen F Austin State U	Purdue U	1
Stephen F Austin State U	Stephen F Austin State U	1
U of Zurich - IPMZ	U of Zurich - IPMZ	8
U of Zurich - IPMZ	U of Fribourg	1
U of Zurich - IPMZ	U of Zurich	7
Georgia State U	West Virginia U	1
Georgia State U	Georgia State U	8
Georgia State U	U at Albany - SUNY	1
U of Melbourne	Cancer Council Victoria	1
U of Melbourne	Bournemouth U	1
U of Melbourne	U of Groningen	1
U of Melbourne	The Cancer Council Victoria	2
U of Melbourne	U of Melbourne	31
College of Southern Nevada	College of Southern Nevada	1
The U of Akron	The U of Akron	1
The U of Akron	Ohio U	1
U of Scranton	The U of Scranton	1
U of Scranton	U of Scranton	1
Multimedia U	Multimedia U	1
Multimedia U	Kyung Hee U	1
Multimedia U	U of Pennsylvania	1
Multimedia U	Yeungnam U	1
U of Fribourg	U of Zurich - IPMZ	1
U of Fribourg	U of Applied Sciences HTW Chur	1
U of Fribourg	U of Freiburg	1
U of Fribourg	LMU Munich	1
U of Fribourg	U of Fribourg	4
U of Fribourg	U of Virginia	1
U of Fribourg	U of Zurich	4
Butler U	Butler U	4
Autonomous U of Baja California Mexicali	Autonomous U of Baja California Mexicali	1
Autonomous U of Baja California Mexicali	Autonomous U of Baja California	2
U of Amsterdam / ASCoR	U of Vienna	2
U of Amsterdam / ASCoR	National School of Political and Administrative Studies	1
U of Amsterdam / ASCoR	ASCoR U of Amsterdam	7
U of Amsterdam / ASCoR	Utrecht U/ Tilburg U	2
U of Amsterdam / ASCoR	U of Amsterdam / ASCoR	7
U of Amsterdam / ASCoR	Utrecht U	2
U of Amsterdam / ASCoR	Fors Marsh Group	1
U of Amsterdam / ASCoR	U of Amsterdam	3
U of Amsterdam / ASCoR	VU U Amsterdam	1
U of Amsterdam / ASCoR	Academic Medical Center U of Amsterdam	3
U of Amsterdam / ASCoR	Amsterdam Medical Centre U of Amsterdam	1
Pennsylvania State U	U of California - Santa Barbara	1
Pennsylvania State U	Augsburg U	3
Pennsylvania State U	U of San Francisco	2
Pennsylvania State U	U of Haifa	3
Pennsylvania State U	Louisiana State U	3
Pennsylvania State U	Towson U	2
Pennsylvania State U	U of Duesseldorf	1
Pennsylvania State U	Western Michigan U	2
Pennsylvania State U	U of South Carolina	1
Pennsylvania State U	U of Georgia	3
Pennsylvania State U	Pennsylvania State U	103
Pennsylvania State U	Penn State U	6
Pennsylvania State U	The Pennsylvania State U	4
Pennsylvania State U	California State U - Monterrey Bay	1
Pennsylvania State U	LMU Munich	2
Pennsylvania State U	Sam Houston State U	1
Pennsylvania State U	Michigan State U	1
Pennsylvania State U	St. Norbert College	1
Pennsylvania State U	U of Duisburg-Essen	3
Pennsylvania State U	U of Alabama	1
Pennsylvania State U	Florida State U	1
Pennsylvania State U	U Duisburg-Essen	1
Pennsylvania State U	U of Duisburg - Essen	1
Pennsylvania State U	Washington State U	3
Pennsylvania State U	Penn State	5
Pennsylvania State U	U of Iowa	2
Pennsylvania State U	Pennsylvania State U  and  Sungkyunkwan Univ	2
China U of Political Science and Law	China U of Political Science and Law	1
NHTV Breda U of Applied Sciences	ASCoR U of Amsterdam	1
NHTV Breda U of Applied Sciences	Radboud U Nijmegen	1
NHTV Breda U of Applied Sciences	Radboud Universiteit Nijmegen	1
NHTV Breda U of Applied Sciences	Radboud U	2
NHTV Breda U of Applied Sciences	VU U Amsterdam	3
NHTV Breda U of Applied Sciences	NHTV Breda U of Applied Sciences	2
Universitaet Hohenheim	U of Hohenheim	1
Universitaet Hohenheim	Universitaet Hohenheim	1
De La Salle U	National U	4
De La Salle U	De La Salle U	16
U of Bergen	U of Bergen	15
U of Bergen	U Bergen	5
U.S. Outcomes Research Merk  and  Co. Inc.	U.S. Outcomes Research Merk  and  Co. Inc.	1
U.S. Outcomes Research Merk  and  Co. Inc.	Texas State U	1
U.S. Outcomes Research Merk  and  Co. Inc.	George Mason U	3
U of Montreal	Arizona State U	2
U of Montreal	U of Montreal	5
Royal Military Academy	Royal Military Academy	1
Hebrew U of Jerusalem	Hebrew U	3
Hebrew U of Jerusalem	Tel Aviv U	3
Hebrew U of Jerusalem	U of Antwerp	1
Hebrew U of Jerusalem	Hebrew U of Jerusalem	28
Hebrew U of Jerusalem	Department of Communication	2
Hebrew U of Jerusalem	LMU Munich	1
Hebrew U of Jerusalem	The Hebrew U of Jerusalem	3
Hebrew U of Jerusalem	Netanya Academic College	1
Hebrew U of Jerusalem	Hebrew U and Ono Academic Colledge	2
Hebrew U of Jerusalem	U of Malaga	2
Federation of Families - Miami-Dade County	Federation of Families - Miami-Dade County	1
Federation of Families - Miami-Dade County	Florida International U	1
Cleveland State U	U of Connecticut	6
Cleveland State U	Ohio State U	2
Cleveland State U	Cleveland State U	22
Telecom Paristech	Telecom Paristech	9
McGill U	McGill U	1
Room 517	Room 517	1
Room 517	The Chinese U of Hong Kong	1
U of California - Los Angeles	U of California - Los Angeles	5
U of California - Los Angeles	U of California Los Angeles	2
U of California - Los Angeles	U of Utara - Malaysia	3
U de Puerto Rico-Carolina	U de Puerto Rico-Carolina	2
U of Kansas	Independent Researcher	1
U of Kansas	Vanderbilt U	2
U of Kansas	Joan Ganz Cooney Center at Sesame Workshop	2
U of Kansas	U of North Carolina - Chapel Hill	1
U of Kansas	Syracuse U	1
U of Kansas	Marist College	1
U of Kansas	American U	1
U of Kansas	U of Kansas	49
U of Kansas	U of San Diego	1
U of Kansas	Sogang U	5
Marist College	Syracuse U	2
Marist College	Marist College	5
Marist College	U of Kansas	1
Marist College	U of Florida	1
U of Macau	U of Macau	2
U of Macau	U of Helsinki	1
U of Macau	U of Macao	1
Kennesaw State U	Kennesaw State U	5
U of Kentucky	TCU	2
U of Kentucky	U of Tennessee	3
U of Kentucky	North Dakota State U	6
U of Kentucky	Saint Louis U	9
U of Kentucky	Western Michigan U	5
U of Kentucky	Northern Kentucky U	1
U of Kentucky	U of Connecticut	3
U of Kentucky	Wayne State U	2
U of Kentucky	U of Kentucky	156
Bowdoin College	Goldsmiths U of London	2
Bowdoin College	U of Maine	2
Bowdoin College	Bowdoin College	4
Wilfrid Laurier U	Wilfrid Laurier U	1
Xi'an Jiaotong - Liverpool U	Xi'an Jiaotong - Liverpool U	2
U of London Goldsmiths College	U of London Goldsmiths College	2
U Carlos III de Madrid	U Carlos III de Madrid	1
The U of New Mexico	The U of New Mexico	1
U of Gothenburg	U of Gothenburg	10
U of Gothenburg	Mid Sweden U	3
U of Gothenburg	ASCoR U of Amsterdam	1
U of Gothenburg	U of Southern Denmark	1
Hebrew U - Jerusalem	Northwestern U	1
Hebrew U - Jerusalem	Hebrew U - Jerusalem	2
Jinan U	Jinan U	1
Universita' Cattolica del Sacro Cuore	U Milano Bicocca	1
Universita' Cattolica del Sacro Cuore	Catholic U of Milan	1
Universita' Cattolica del Sacro Cuore	Universita' Cattolica del Sacro Cuore	8
Universita' Cattolica del Sacro Cuore	U degli Studi di Bergamo	1
Universita' Cattolica del Sacro Cuore	U of Zagreb	3
Universita' Cattolica del Sacro Cuore	U Cattolica del Sacro Cuore	3
Marquette U	Arizona State U	2
Marquette U	U of Minnesota	2
Marquette U	Marquette U	2
U of California San Francisco	U of California - Santa Barbara	1
U of California San Francisco	U of Southern California - Annenberg School for Communication	1
U of California San Francisco	U of Georgia	1
U of California San Francisco	U of California San Francisco	2
U of California San Francisco	Stanford U	1
U of California San Francisco	U of California - San Francisco	2
El Nuevo Día	El Nuevo Día	1
Arkansas State U	Wayne State U	4
Arkansas State U	U of Houston	2
Arkansas State U	Arkansas State U	2
U of San Paulo	U of San Paulo	1
Indiana U Bloomington	Indiana U Bloomington	1
Indiana U Bloomington	Indiana U	1
U of Zurich	U of Zurich - IPMZ	7
U of Zurich	U of Vienna	6
U of Zurich	U of Applied Sciences HTW Chur	1
U of Zurich	U of Hamburg	6
U of Zurich	U of Amsterdam	2
U of Zurich	LMU Munich	1
U of Zurich	U of Fribourg	4
U of Zurich	U of Mannheim	3
U of Zurich	U of Zurich	71
U of Zurich	Jacobs U Bremen	1
U of Zurich	Uppsala U	1
U of Zurich	U of Mainz	3
U of Toronto	Ryerson U	1
U of Toronto	U of Toronto	6
U of Toronto	U of Toronto Mississauga	1
U of Toronto	National Institute of Informatics Japan	1
Virginia Tech	Ruhr U Bochum	1
Virginia Tech	U Muenster	1
Virginia Tech	Virginia Tech	2
Amsterdam School of Communication Research/ U of Amsterdam	ASCoR U of Amsterdam	6
Amsterdam School of Communication Research/ U of Amsterdam	Amsterdam School of Communication Research/ U of Amsterdam	4
Amsterdam School of Communication Research/ U of Amsterdam	U of Amsterdam	4
U of New Mexico	U of New Mexico	3
Hebrew U	Hebrew U of Jerusalem	3
Hebrew U	Netanya Academic College	1
Hebrew U	The Hebrew U of Jerusalem	2
Hebrew U	Hebrew U	7
Hebrew U	U of Iowa	1
U catholique de Louvain	U catholique de Louvain	1
U of Houston-Downtown	U of Houston-Downtown	3
U of Wisconsin-Milwaukee	Yonsei U	2
U of Wisconsin-Milwaukee	North Central College	2
U of Wisconsin-Milwaukee	Sodertorn U	1
U of Wisconsin-Milwaukee	U of Wisconsin-Milwaukee	30
U of Wisconsin-Milwaukee	Waukesha County Technical College	2
U of Wisconsin-Milwaukee	U of Amsterdam	1
U of Wisconsin-Milwaukee	ASCoR U of Amsterdam	1
U of Wisconsin-Milwaukee	Kent State U	1
U of Copenhagen	Lund U	1
U of Copenhagen	Hans Bredow Institute for Media Research	1
U of Copenhagen	Hans-Bredow-Institut	1
U of Copenhagen	U of Antwerp	2
U of Copenhagen	U of Copenhagen	18
Annenberg School for Communication U of Pennsylvania	The Annenberg School for Communication U of Pennsylvania	2
Annenberg School for Communication U of Pennsylvania	Annenberg School for Communication U of Pennsylvania	12
Annenberg School for Communication U of Pennsylvania	U of Pennsylvania	10
Annenberg School for Communication U of Pennsylvania	U of Illinois at Urbana–Champaign	2
Yeungnam U	Multimedia U	1
Yeungnam U	Kyung Hee U	1
Yeungnam U	U of Pennsylvania	1
Yeungnam U	Yeungnam U	1
U of Minnesota - Duluth	U of Minnesota - Duluth	5
U of Minnesota - Duluth	Jacksonville U	1
Ewha Womans U	EWHA WOMANS UNIVERSITY	1
Ewha Womans U	Ewha Womans U	6
Ewha Womans U	U of Miami	1
U of Southern Denmark Centre for Journalism	U of Southern Denmark Centre for Journalism	5
U of Southern Denmark Centre for Journalism	U of Southern Denmark	2
U of California - San Diego	U of California - San Diego	2
U of Texas - El Paso	U of Texas - El Paso	2
U of Texas - El Paso	PCI Media Impact	1
U of Texas - El Paso	U of Illinois Urbana Champaign	1
U of Texas - El Paso	Northwestern U	1
U of Texas - El Paso	California State U Los Angeles	1
Trinity Lutheran College	Trinity Lutheran College	1
Humboldt U Berlin	Technische U Chemnitz	1
Humboldt U Berlin	Humboldt U Berlin	1
Humboldt U Berlin	Technische Universitaet Chemnitz / HIIG	1
Chapman U	U Duisburg-Essen	1
Chapman U	U of Duisburg - Essen	1
Chapman U	Chapman U	18
U Iberoamericana	U Nacional de la Matanza	1
U Iberoamericana	U Iberoamericana	2
U Iberoamericana	Instituto de Altos Estudios Nacionales	1
U Iberoamericana	U de la Habana	2
U Iberoamericana	U Federal de Santa Catarina	1
U Iberoamericana	U of Santiago	1
Texas Christian U	Texas Christian U	3
Texas Christian U	U of Maryland	1
Texas Christian U	U of Oklahoma	1
Missouri School of Journalism U of Missouri	U of Missouri	2
Missouri School of Journalism U of Missouri	Missouri School of Journalism U of Missouri	1
Stanford Prevention Research Center	Stanford Prevention Research Center	2
Stanford Prevention Research Center	U of Illinois	2
Stanford Prevention Research Center	Cornell U	1
Stanford Prevention Research Center	Dana-Farber Cancer Institute and Harvard School of Public Health	1
Stanford Prevention Research Center	U of Pittsburgh	2
Simon Fraser U	UIC	1
Simon Fraser U	Simon Fraser U	4
Old Dominion U	Old Dominion U	2
U of Texas - Brownsville	U of Texas - Brownsville	1
U of Texas - Brownsville	U of Texas	2
U of Texas - Brownsville	The U of Texas at Austin	2
U of Texas - Brownsville	U of Texas at Austin	2
U of Texas - Brownsville	U of Texas - Austin	1
SungKyunKwan U	SungKyunKwan U	1
SungKyunKwan U	Syracuse U	2
U of Cape Town	U of Cape Town	2
U of Turku	U of Turku	1
Western Washington U	U of Michigan Psychology Dept.	2
Western Washington U	Western Washington U	2
Western Washington U	U of Michigan	2
Saint Francis Xavier U	Saint Francis Xavier U	1
Saint Francis Xavier U	U of Queensland	2
Instituto de Estudios Peruanos	Instituto de Estudios Peruanos	5
Instituto de Estudios Peruanos	U of Amsterdam	2
U of Maine	Washington State U	1
U of Maine	Goldsmiths U of London	1
U of Maine	Ohio State U	1
U of Maine	U of Maine	3
U of Maine	Bowdoin College	2
U of Koblenz-Landau	U of Koblenz-Landau	10
U of Koblenz-Landau	U of Kassel	4
U of Koblenz-Landau	U Koblenz-Landau	2
U of Koblenz-Landau	U of Amsterdam	2
U of Koblenz-Landau	Ars Electronica Futurelab	2
U of Koblenz-Landau	U of Osnabrueck	2
Comenius U Bratislava	U of Vienna	1
Comenius U Bratislava	U of Amsterdam ASCOR	1
Comenius U Bratislava	U of Amsterdam	1
Comenius U Bratislava	Comenius U Bratislava	1
U of Utara - Malaysia	U of California - Los Angeles	3
U of Utara - Malaysia	U of Utara - Malaysia	3
Fordham U	Emerson College	1
Fordham U	Fordham U	3
Bellevue U	Bellevue U	2
The College of New Jersey	The College of New Jersey	1
The College of New Jersey	Media Science	1
The College of New Jersey	Murdoch U	2
The College of New Jersey	RMIT U	1
McMaster U	McMaster U	2
Rutgers	Aalto U	2
Rutgers	Rutgers U	1
Rutgers	Rutgers	3
U of North Carolina - Chapel Hill	Aarhus U	1
U of North Carolina - Chapel Hill	U of Buffalo - SUNY	2
U of North Carolina - Chapel Hill	U of Southampton	1
U of North Carolina - Chapel Hill	U of North Carolina Chapel Hill	3
U of North Carolina - Chapel Hill	U of North Carolina - Chapel Hill	104
U of North Carolina - Chapel Hill	U of Antwerp	1
U of North Carolina - Chapel Hill	Indiana U	5
U of North Carolina - Chapel Hill	U of Mannheim	1
U of North Carolina - Chapel Hill	U of Amsterdam	1
U of North Carolina - Chapel Hill	U of Kansas	1
U of North Carolina - Chapel Hill	Ithaca College	2
U of North Carolina - Chapel Hill	U of Barcelona	1
U of North Carolina - Chapel Hill	U of Geneva	2
U of North Carolina - Chapel Hill	U of North Carolina at Chapel Hill	5
U At Buffalo	SUNY Oneonta	1
U At Buffalo	U of Buffalo - SUNY	2
U At Buffalo	U at Buffalo State U of New York	2
U At Buffalo	U At Buffalo	2
U At Buffalo	U at Buffalo	6
Albion College	U of Wyoming	1
Albion College	Albion College	1
UNIVERSITY OF MURCIA	UNIVERSITY OF MURCIA	1
U of Mainz	Johannes Gutenberg U Mainz	2
U of Mainz	U Mainz	3
U of Mainz	U of Amsterdam	1
U of Mainz	U of Mainz	78
U of Mainz	LMU Munich	2
U of Mainz	U of Zurich	3
U of Mainz	U of Erfurt	4
U of Mainz	Johannes Gutenberg U	11
Pontificia Universidad Catolica de Chile	Universidad Diego Portales	1
Pontificia Universidad Catolica de Chile	Pontificia U Católica de Chile	7
Pontificia Universidad Catolica de Chile	Pontificia Universidad Católica de Chile	1
Pontificia Universidad Catolica de Chile	Pontificia Universidad Catolica de Chile	11
Pontificia Universidad Catolica de Chile	U Diego Portales	1
U of Tuebingen	Eberhard Karls U Tuebingen	2
U of Tuebingen	Knowledge Media Research Center	8
U of Tuebingen	U of Erfurt	4
U of Tuebingen	Augsburg U	3
U of Tuebingen	U of Tuebingen	21
James Madison U	James Madison U	6
James Madison U	U of Puerto Rico	3
James Madison U	Middle Tennessee State U	2
Community Health Councils	Portland State U	3
Community Health Councils	Community Health Councils	9
Community Health Councils	U of Southern California - Annenberg School for Communication	6
FEDERAL UNIVERSITY OF MINAS GERAIS	U Federal de Minas Gerais	3
FEDERAL UNIVERSITY OF MINAS GERAIS	U of Amazonia (Unama)	1
FEDERAL UNIVERSITY OF MINAS GERAIS	Federal U of Minas Gerais (UFMG)	1
FEDERAL UNIVERSITY OF MINAS GERAIS	FEDERAL UNIVERSITY OF MINAS GERAIS	1
U of Michigan - Flint	Hope College	1
U of Michigan - Flint	U of Michigan - Flint	1
U of California Irvine	U of California Irvine	1
U at Albany	Ohio State U	1
U at Albany	U at Albany	1
Technical U of Dresden	Technical U of Dresden	2
Technical U of Dresden	Ohio State U	2
Technical U of Dresden	U of Technology Dresden	1
Technical U of Dresden	Technical U - Dresden	2
Ghent U	Ruhr U Bochum	2
Ghent U	U of Leuven - School for Mass Communication Research	12
Ghent U	Ghent U	68
Ghent U	MMLab - Ghent U - iMinds	3
Ghent U	iMinds-MICT-Ghent U	2
Ghent U	U of Leuven	15
Ghent U	iMinds-MICT-UGent	4
Wuhan U	Kent State U	2
Wuhan U	National Chiao Tung U	1
Wuhan U	Nanyang Technological U	2
Wuhan U	Wuhan U	6
East Carolina U	East Carolina U	3
East Carolina U	U of Connecticut	2
U of Wisconsin-Madison School of Journalism and Mass Communication	U of Wisconsin-Madison	2
U of Wisconsin-Madison School of Journalism and Mass Communication	U of Wisconsin-Madison School of Journalism and Mass Communication	1
Deutsche Gesellschaft fur Publizistik	U of Hohenheim	1
Deutsche Gesellschaft fur Publizistik	Deutsche Gesellschaft fur Publizistik	1
Hocking College	U of Buffalo - SUNY	1
Hocking College	Hocking College	1
Prairie View A&M U	Prairie View A&M U	1
Academic Medical Center U of Amsterdam	U of Amsterdam / ASCoR	3
Academic Medical Center U of Amsterdam	Fors Marsh Group	1
Academic Medical Center U of Amsterdam	Academic Medical Center U of Amsterdam	5
Academic Medical Center U of Amsterdam	ASCoR U of Amsterdam	7
Academic Medical Center U of Amsterdam	Amsterdam Medical Centre U of Amsterdam	2
U of Malaga	Democritus U of Thrace	1
U of Malaga	Hebrew U of Jerusalem	2
U of Malaga	Department of Communication	2
U of Malaga	Aristotle U of Thessaloniki	2
U of Malaga	U Rey Juan Carlos	1
U of Malaga	U of Malaga	3
Clemson U	Clemson U	25
Clemson U	U of Tennessee	1
Clemson U	Murray State U	1
Singapore Management U	Purdue U	2
Singapore Management U	Singapore Management U	1
Pontificia Universidad Javeriana	Pontificia Universidad Javeriana	1
Memorial Sloan-Kettering Cancer Center	U of Illinois at Urbana–Champaign	4
Memorial Sloan-Kettering Cancer Center	Memorial Sloan-Kettering Cancer Center	65
Memorial Sloan-Kettering Cancer Center	Hamad Medical Corporation	8
Robert Morris U	Robert Morris U	2
Robert Morris U	U of Nebraska-Lincoln	4
Robert Morris U	Pennsylvania State U  and  Sungkyunkwan Univ	1
Northern Kentucky U	Korea U	2
Northern Kentucky U	U of Arizona	2
Northern Kentucky U	Northern Kentucky U	7
Northern Kentucky U	U of Georgia	2
Northern Kentucky U	U of Kentucky	1
Northern Kentucky U	U of Michigan	4
Johannes Kepler U	U del Este	1
Johannes Kepler U	Johannes Kepler U	1
VU U - Amsterdam	VU U - Amsterdam	3
VU U - Amsterdam	VU U Amsterdam	9
VU U - Amsterdam	VU U	1
Auburn U	Auburn U	1
U of St Gallen	U of St Gallen	1
U of St Gallen	U of St. Gallen	2
Fort Hays State U	Fort Hays State U	4
Murdoch U	The College of New Jersey	2
Murdoch U	Media Science	2
Murdoch U	Murdoch U	4
Murdoch U	RMIT U	2
Hong Kong Polytechnic U	City U of Hong Kong	1
Hong Kong Polytechnic U	Sun Yat-sen U	1
Hong Kong Polytechnic U	Nanjing U	1
Hong Kong Polytechnic U	City U - Hong Kong	1
Hong Kong Polytechnic U	Hong Kong Polytechnic U	3
Pew Internet and American Life Project	Pew Internet and American Life Project	2
Stephen F. Austin State U	Stephen F. Austin State U	10
SUNY New Paltz	SUNY New Paltz	1
School of Sustainability IDC	School of Sustainability IDC	3
School of Sustainability IDC	U of Texas - Austin	2
Mount Saint Vincent U	Mount Saint Vincent U	8
U of Otago	U of Otago	1
U of Rhode Island	U of Rhode Island	9
Karlstad U	Karlstad U	29
Karlstad U	Southern Illinois U	2
National Taiwan U	National Taiwan U	1
U Municipal de Sao Caetano do Sul	U of Minho	1
U Municipal de Sao Caetano do Sul	The U of Texas at Austin	1
U Municipal de Sao Caetano do Sul	U of Texas at Austin	1
U Municipal de Sao Caetano do Sul	U Municipal de Sao Caetano do Sul	2
U Municipal de Sao Caetano do Sul	U of Texas - Austin	5
U of Memphis	Michigan State U	2
U of Memphis	Texas Tech U	1
U of Memphis	U of Memphis	3
U of Memphis	Virginia Commonwealth U	2
U of Memphis	U of Maryland	2
U of Duesseldorf	U of Duesseldorf	25
U of Duesseldorf	LMU Munich	2
U of Duesseldorf	Pennsylvania State U	1
West Virgina U	California State U - Stanislaus	1
West Virgina U	West Virgina U	1
St Cloud State U	St Cloud State U	1
St Cloud State U	Dartmouth College	1
St Cloud State U	U of Massachusetts	2
Georgetown U	U of Southern California	1
Georgetown U	George Mason U	2
Georgetown U	U of Missouri	1
Georgetown U	Northwestern U	1
Georgetown U	U of Maryland	1
Georgetown U	Georgetown U	3
Penn State U	Penn State U	40
Penn State U	Western Kentucky U	5
Penn State U	Augsburg U	1
Penn State U	Utah State U	6
Penn State U	Syracuse U	2
Penn State U	U of Wisconsin-Madison	1
Penn State U	U of Wisconsin	1
Penn State U	Purdue U	27
Penn State U	Washington State U	1
Penn State U	Pennsylvania State U	6
Penn State U	U of Haifa	1
Penn State U	Pennsylvania State U  and  Sungkyunkwan Univ	3
Communication School	Communication School	1
Communication School	The Communications School College of Administration	1
Universita' degli Studi di Sassari	Universita' degli Studi di Sassari	1
Universita' degli Studi di Sassari	U of Cincinnati	1
Bond U	Bond U	1
U of Missouri	Central Michigan U	2
U of Missouri	U of Missouri	100
U of Missouri	U of Missouri - Columbia	4
U of Missouri	George Mason U	1
U of Missouri	Missouri School of Journalism	2
U of Missouri	U of Missouri School of Journalism	1
U of Missouri	Missouri School of Journalism U of Missouri	2
U of Missouri	U of Southern California	1
U of Missouri	Northwestern U	1
U of Missouri	Augsburg U	1
U of Missouri	Webster U	3
U of Missouri	U of Oregon	4
U of Missouri	Nanyang Technological U	1
U of Missouri	American U	2
U of Missouri	Missouri	2
U of Missouri	U of Arizona	2
U of Missouri	U of Iowa	2
U of Missouri	Georgetown U	1
U of Missouri	U of Missouri-Columbia	3
U of Missouri	Bradley U	8
Middlesex U	Middlesex U	2
U of Sussex	U of Sussex	2
U of Sussex	King's College London	1
Stanford	Stanford	1
Rutgers U	U of California - Santa Barbara	1
Rutgers U	Rutgers U	91
Rutgers U	Carleton U	2
Rutgers U	Aalto U	2
Rutgers U	U of Amsterdam	1
Rutgers U	U of Wisconsin-Madison	1
Rutgers U	Rutgers	1
Rutgers U	Purdue U	1
Rutgers U	U of Miami	1
Rutgers U	U of Washington	1
Rutgers U	U of Texas - Austin	1
Rutgers U	U of Oklahoma	2
Rutgers U	Robert Wood Johnson U Hospital	8
Rutgers U	U of Michigan	3
Kansas State U	Kansas State U	2
Central China Normal U	Fairfield U	1
Central China Normal U	California State U - Fullerton	1
Central China Normal U	Central China Normal U	1
Central China Normal U	U of Waikato	1
The U of Sheffield	The U of Sheffield	2
UNIVERSITE LIBRE DE BRUXELLES	LMU Munich	3
UNIVERSITE LIBRE DE BRUXELLES	UNIVERSITE LIBRE DE BRUXELLES	5
UNIVERSITE LIBRE DE BRUXELLES	U  Libre de Bruxelles	2
U of South Dakota	Texas Tech U	9
U of South Dakota	U of South Dakota	6
Southern Illinois U	American U	2
Southern Illinois U	Karlstad U	2
Southern Illinois U	Southern Illinois U	10
Southern Illinois U	Franciscan U - Steubenville Dept. of Communication Arts	1
MMLab - Ghent U - iMinds	MMLab - Ghent U - iMinds	9
MMLab - Ghent U - iMinds	Ghent U	3
MMLab - Ghent U - iMinds	iMinds-MICT-UGent	6
U of Mannheim	U Mannheim	5
U of Mannheim	U of Geneva	2
U of Mannheim	Hanover U of Music Drama and Media	7
U of Mannheim	Erasmus U Rotterdam	1
U of Mannheim	U of Cologne	10
U of Mannheim	U of Amsterdam	1
U of Mannheim	U of Erfurt	3
U of Mannheim	LMU Munich	2
U of Mannheim	U of Antwerp	1
U of Mannheim	U of Mannheim	107
U of Mannheim	Aarhus U	1
U of Mannheim	U of Mannheim/U of Amsterdam	4
U of Mannheim	U of Barcelona	1
U of Mannheim	U of Zurich	3
U of Mannheim	Jacobs U Bremen	2
U of Mannheim	U of Southampton	1
U of Mannheim	U of North Carolina - Chapel Hill	1
U of Hawaii at Manoa	U Oberta Catalunya	1
U of Hawaii at Manoa	Ohio State U	1
U of Hawaii at Manoa	U of California - Santa Barbara	1
U of Hawaii at Manoa	U of Hawaii at Manoa	2
Utrecht U	ASCoR U of Amsterdam	1
Utrecht U	Utrecht U/ Tilburg U	2
Utrecht U	U of Amsterdam / ASCoR	2
Utrecht U	U of Amsterdam	3
Utrecht U	U of Utrecht	5
Utrecht U	Center on Media and Child Health	6
Utrecht U	VU U Amsterdam	1
Utrecht U	Boston Children's Hospital	6
Utrecht U	Utrecht U	17
U of Minho	U of Minho	1
U of Minho	The U of Texas at Austin	1
U of Minho	U of Texas at Austin	1
U of Minho	U Municipal de Sao Caetano do Sul	1
U of Minho	U of Texas - Austin	1
Universita della Svizzera italiana	U della Svizzera italian	1
Universita della Svizzera italiana	Universita della Svizzera italiana	2
National Institute of Education	Nanyang Technological U	1
National Institute of Education	National Institute of Education	1
Chemnitz U of Technology	Chemnitz U of Technology	31
Chemnitz U of Technology	Wuerzburg U	5
Chemnitz U of Technology	U of Wurzburg	3
American U of Beirut	American U of Beirut	1
American U of Beirut	National U of Singapore	1
California State U Channel Islands	San Diego State U	1
California State U Channel Islands	U of Southern California	2
California State U Channel Islands	California State U Channel Islands	2
California State U Channel Islands	U of Southern California - Annenberg School for Communication	2
Florida State U	Rochester Institute of Technology	2
Florida State U	Pennsylvania State U	1
Florida State U	Northwestern U	5
Florida State U	Florida State U	37
Florida State U	U of Navarra	1
Metropolitan State U of Denver	Massey U	1
Metropolitan State U of Denver	Metropolitan State U of Denver	1
U of Oslo	U of Tennessee	1
U of Oslo	U of Oslo	6
School of Communication Simon Fraser U	School of Communication Simon Fraser U	1
TU Dortmund U	Technische Hochschule Mittelhessen	1
TU Dortmund U	TU Dortmund U	10
Hunter College	Hunter College	1
Pennsylvania State U - Abington	Pennsylvania State U - Abington	1
Hunan U	Peking U	2
Hunan U	Hunan U	1
Dept. of Journalism Media and Communication U of Gothenburg	Dept. of Journalism Media and Communication U of Gothenburg	1
Hans Bredow Institute	LMU Munich	3
Hans Bredow Institute	Hans Bredow Institute	2
Ohio U	North Carolina State U	1
Ohio U	New York U	1
Ohio U	Bangkok U	1
Ohio U	The U of Akron	1
Ohio U	Ohio U	31
Ohio U	U of Texas Austin	1
Ohio U	U of Texas - Austin	1
Webster U Geneva	Webster U Geneva	1
Cal Poly Pomona	Cal Poly Pomona	1
U de Puerto Rico Recinto de Río Piedras	U de Puerto Rico Recinto de Río Piedras	4
Texas Tech	Brigham Young U	3
Texas Tech	Texas Tech	1
Texas Tech	Midwestern U	1
